,Date,daily_generacion,daily_consumo_combustible,daily_demanda,daily_aportes_energia,daily_volumen_util_energia,daily_disponibilidad_real,daily_precio_bolsa,daily_emision_CO2_eq
0,2013-10-01,172.69321538999998,395.97704999999996,170.65359945,142.7108,9520.171994,284.04768,147.63458333333335,26770.66
1,2013-10-02,176.52661666,306.79428,173.14007136,126.0285,9480.6175769,283.22184,148.92166666666665,19434.710000000003
2,2013-10-03,179.80746046,414.36826,177.86575204,153.9948,9488.4279429,284.82792,170.76500000000001,28364.489999999998
3,2013-10-04,173.45214203,471.70049,171.83830830000002,341.0759,9685.8472851,292.49064000000004,156.35833333333335,31935.539999999997
4,2013-10-05,164.91861114000002,446.01587,165.30825639,167.3248,9726.0451339,288.18528,153.77583333333334,30412.379999999997
5,2013-10-06,150.20945981,388.49073,150.01876381,117.8641,9724.8696165,288.61992,122.81,26150.579999999998
6,2013-10-07,174.16847354,403.64107000000007,173.71062773,111.0094,9688.3875804,286.67208,172.22625000000002,27410.890000000003
7,2013-10-08,176.32123522999998,442.70127,175.30024856999998,138.7923,9687.093429100001,282.30864,169.37333333333333,30955.52
8,2013-10-09,178.73283619,448.58489000000003,176.92454633000003,110.9397,9654.7904791,281.23944,176.52666666666664,30623.26
9,2013-10-10,180.22722028,412.1329599999999,178.076231,131.3536,9636.4068168,279.87719999999996,163.8204166666667,28073.430000000004
10,2013-10-11,177.65861180000002,442.43264,175.43029231,115.6205,9613.2267063,290.72568,163.70291666666668,31577.239999999994
11,2013-10-12,167.4781446,396.25573999999995,165.97259682,119.9303,9593.6152391,281.61480000000006,171.03666666666666,28722.61
12,2013-10-13,147.17671574000002,320.27813999999995,145.77992371000002,184.2228,9658.3844969,276.41591999999997,173.36958333333328,23004.6
13,2013-10-14,149.97422227999996,326.4142499999999,148.36389824,185.4333,9711.3739249,274.73591999999996,180.54083333333332,23308.030000000002
14,2013-10-15,172.56967841999997,394.97884,170.96243438,176.2719,9741.773137,280.38480000000004,176.89416666666668,27997.24
15,2013-10-16,170.87377400999998,426.97385,169.41845981999998,147.3374,9750.989724,278.12496000000004,194.64208333333332,29931.669999999995
16,2013-10-17,171.11287508999996,424.1372600000001,169.88796708,137.3582,9751.6905535,278.8584,190.77541666666664,30526.97
17,2013-10-18,176.29593997,404.67283000000003,174.985982,111.8528,9714.4315215,284.78688,186.62458333333336,28976.2
18,2013-10-19,167.55508544,375.22319,166.44774622,112.704,9694.4139138,274.95432,184.95749999999998,26125.549999999996
